,LatDim_0,LatDim_1,split
Sample_001,1.0374007,-1.3408275,train
Sample_003,0.73928577,-0.20979278,train
Sample_004,0.8939457,-0.088327214,train
Sample_005,2.0847812,0.08662069,train
Sample_006,0.554482,1.6129348,train
Sample_007,-0.24939267,0.24137677,train
Sample_008,-1.6687207,0.45778316,train
Sample_009,1.8726479,-0.3004855,train
Sample_010,0.49834108,1.1264226,train
Sample_012,1.5488987,-1.877881,train
Sample_013,-0.59989464,-1.2655467,train
Sample_014,-0.8583002,0.30669558,train
Sample_016,-1.1310269,1.2083235,train
Sample_017,-2.209106,-0.67857164,train
Sample_019,-0.85998076,1.5815208,train
Sample_024,-1.9810662,0.05765166,train
Sample_025,-0.4371934,0.23139948,train
Sample_026,0.60781705,2.1815274,train
Sample_027,0.3126579,-0.30927366,train
Sample_028,1.0447227,-1.3350778,train
Sample_030,1.2465689,0.14848311,train
Sample_002,1.4104325,-0.7929489,valid
Sample_023,-1.2511634,1.6709428,valid
Sample_029,1.7093314,0.67618823,valid
