,Gene3,Gene1,Gene2,split
Sample_001,0.6178831,-0.7317678,-0.9073957,train
Sample_003,0.75018114,-0.89099926,-1.0854311,train
Sample_004,-0.086744204,0.09952679,0.22285573,train
Sample_005,0.22576398,-0.26001573,-0.38048193,train
Sample_006,-0.098235086,0.10659088,0.3139018,train
Sample_007,0.5976734,-0.70776045,-0.88108414,train
Sample_008,-0.105675,0.11131093,0.3702376,train
Sample_009,-0.16341898,0.14794502,0.8074811,train
Sample_010,-0.0568616,0.0803426,0.0006174154,train
Sample_012,-0.10982556,0.11394414,0.4016661,train
Sample_013,-0.28232792,0.22338358,1.7078723,train
Sample_014,0.22842333,-0.26302117,-0.38329446,train
Sample_016,-0.0568616,0.0803426,0.0006174154,train
Sample_017,-0.07016881,0.08878499,0.101381004,train
Sample_019,0.47844675,-0.56394476,-0.71975434,train
Sample_024,0.5274565,-0.622932,-0.7857075,train
Sample_025,0.028037153,-0.030784242,-0.017854007,train
Sample_026,-0.0568616,0.0803426,0.0006174154,train
Sample_027,-0.20688629,0.17576559,1.133369,train
Sample_028,0.2654539,-0.30759048,-0.43312702,train
Sample_030,0.11276246,-0.123813815,-0.227648,train
Sample_002,0.046229985,-0.043934226,-0.13929896,valid
Sample_023,-0.084479034,0.09828627,0.2027631,valid
Sample_029,-0.10212119,0.10947248,0.33664438,valid
