,LatDim_0,LatDim_1,split
Sample_001,0.049834363,-1.4377896,train
Sample_003,0.9288434,-1.8144249,train
Sample_004,0.22572401,0.49902636,train
Sample_005,0.2803809,-0.9383652,train
Sample_006,-1.9091917,-0.22056246,train
Sample_007,-0.6512549,0.21989642,train
Sample_008,-0.71689916,-0.47543293,train
Sample_009,0.24008687,-0.48202577,train
Sample_010,-1.6726297,0.93732476,train
Sample_012,-1.1250983,0.46121988,train
Sample_013,1.2792498,-0.51070523,train
Sample_014,-0.41763607,0.8751152,train
Sample_016,-0.9518943,0.53027993,train
Sample_017,-0.37490708,-1.9861101,train
Sample_019,0.24698016,2.6716096,train
Sample_024,-0.22201166,-0.3274854,train
Sample_025,0.06307375,0.2982513,train
Sample_026,-0.68099135,-1.1879582,train
Sample_027,-1.0632024,0.70196056,train
Sample_028,-0.6263608,-0.43681586,train
Sample_030,0.22661614,0.42025438,train
Sample_002,0.7225904,-1.0235655,valid
Sample_023,-2.173071,-0.6842808,valid
Sample_029,1.6747841,-1.5664303,valid
