,LatDim_0,LatDim_1,split
Sample_001,-0.4073187,-0.92101884,train
Sample_003,-0.69729716,1.7559322,train
Sample_004,-0.53625953,0.98893267,train
Sample_005,-0.67098165,-2.496306,train
Sample_006,-0.7476871,-0.7887967,train
Sample_007,-0.11227227,-0.6648811,train
Sample_008,-0.9086334,0.10276567,train
Sample_009,-0.8031832,-0.8431321,train
Sample_010,-0.42125836,-1.2635746,train
Sample_012,-0.05457639,1.5523497,train
Sample_013,0.1340791,-0.009979755,train
Sample_014,-0.32629132,-1.532608,train
Sample_016,-0.038813174,-0.7552348,train
Sample_017,-1.1801065,-0.29479745,train
Sample_019,2.068666,0.09368416,train
Sample_024,0.06982374,0.41618812,train
Sample_025,0.6595344,-1.0847197,train
Sample_026,-0.7021942,0.003062045,train
Sample_027,0.09974581,0.05573872,train
Sample_028,0.6349617,2.0800486,train
Sample_030,-0.83137566,0.64399266,train
Sample_002,-2.1423147,1.0524616,valid
Sample_023,0.07915855,-0.36358142,valid
Sample_029,-0.71629006,-2.0286982,valid
