,Gene3,Gene1,Gene2,split
Sample_001,-0.07268816,0.09756642,-0.0028514715,train
Sample_003,-0.074736685,0.09904417,0.015149983,train
Sample_004,-0.117489606,0.12988493,0.39084303,train
Sample_005,-0.07268816,0.09756642,-0.0028514715,train
Sample_006,0.42239696,-0.50480074,-0.6778607,train
Sample_007,-0.11479008,0.12826115,0.36614373,train
Sample_008,-0.07295139,0.09795735,-0.0028294101,train
Sample_009,-0.15307654,0.15555634,0.7035646,train
Sample_010,-0.07268816,0.09756642,-0.0028514715,train
Sample_012,0.15317671,-0.17728955,-0.31063217,train
Sample_013,0.6243315,-0.75064,-0.95266354,train
Sample_014,-0.15403986,0.15625125,0.71202976,train
Sample_016,-0.08442033,0.106029674,0.10024543,train
Sample_017,0.18865058,-0.22045788,-0.35897157,train
Sample_019,0.39083922,-0.46640018,-0.6348557,train
Sample_024,0.16142951,-0.18733242,-0.32187805,train
Sample_025,-0.07268816,0.09756642,-0.0028514715,train
Sample_026,-0.121424474,0.13272342,0.42542076,train
Sample_027,-0.09582761,0.114526615,0.19891474,train
Sample_028,-0.11884914,0.13086565,0.40278992,train
Sample_030,0.9352192,-1.1289607,-1.3763028,train
Sample_002,0.026989348,-0.02368775,-0.13941762,valid
Sample_023,-0.23251547,0.21409136,1.4070045,valid
Sample_029,0.010371931,-0.0034656003,-0.11676834,valid
