,Gene3,Gene1,Gene2,split
Sample_001,-0.15168837,0.12944105,0.8858285,train
Sample_003,-0.18757717,0.15347987,1.1157643,train
Sample_004,1.4031065,-1.6402265,-1.8626562,train
Sample_005,0.016496334,-0.0015931949,-0.03476746,train
Sample_006,-0.13367756,0.11704375,0.7643666,train
Sample_007,-0.017214358,0.038244583,0.009671421,train
Sample_008,-0.2526935,0.19793987,1.5439211,train
Sample_009,0.5647607,-0.6495073,-0.757513,train
Sample_010,-0.16374409,0.1376169,0.9643768,train
Sample_012,-0.17637816,0.14618498,1.0466933,train
Sample_013,0.0058665387,0.0037130117,0.05412614,train
Sample_014,0.45616236,-0.5211707,-0.614354,train
Sample_016,-0.017214358,0.038244583,0.009671421,train
Sample_017,-0.017862221,0.03875262,0.009310539,train
Sample_019,0.30881914,-0.34704715,-0.42011994,train
Sample_024,-0.017214358,0.038244583,0.009671421,train
Sample_025,0.35063148,-0.39744425,-0.46507156,train
Sample_026,0.66834825,-0.7721475,-0.8952862,train
Sample_027,-0.20625803,0.16644865,1.2413737,train
Sample_028,-0.017862221,0.03875262,0.009310539,train
Sample_030,0.8224585,-0.954043,-1.0972214,train
Sample_002,0.36284864,-0.4111999,-0.49353087,valid
Sample_023,1.3377975,-1.5631753,-1.7786782,valid
Sample_029,-0.17214547,0.14288568,1.0120964,valid
