,Gene3,Gene1,Gene2,split
Sample_001,-0.08141707,0.08168614,0.39682373,train
Sample_003,-0.1855093,0.15007287,1.0795333,train
Sample_004,-0.022044875,0.042679675,0.0074193706,train
Sample_005,0.08243092,-0.080645874,-0.13115367,train
Sample_006,-0.022044875,0.042679675,0.0074193706,train
Sample_007,-0.063261576,0.0697583,0.2777473,train
Sample_008,-0.106123745,0.097917974,0.55886734,train
Sample_009,0.38330445,-0.43605056,-0.52704877,train
Sample_010,-0.1670031,0.13791461,0.9581566,train
Sample_012,-0.022044875,0.042679675,0.0074193706,train
Sample_013,0.37553772,-0.42687783,-0.51680803,train
Sample_014,1.1320958,-1.3203067,-1.5153973,train
Sample_016,-0.094028495,0.09021312,0.4774611,train
Sample_017,-0.19912307,0.1591533,1.1685642,train
Sample_019,0.8240858,-0.9566272,-1.1082354,train
Sample_024,-0.10873072,0.09963071,0.57596564,train
Sample_025,0.53728473,-0.61790615,-0.73007756,train
Sample_026,0.41321626,-0.47137737,-0.56648856,train
Sample_027,-0.0745341,0.07716416,0.3516804,train
Sample_028,-0.033186004,0.050301522,0.077360086,train
Sample_030,-0.3235906,0.2407898,1.985167,train
Sample_002,-0.16824222,0.13899098,0.9635939,valid
Sample_023,0.26630506,-0.29789004,-0.3746805,valid
Sample_029,0.053625017,-0.05259141,-0.034930423,valid
