,Gene3,Gene1,Gene2,split
Sample_001,1.1235217,-1.3057139,-1.4729981,train
Sample_003,-0.06752456,0.06885569,0.4068146,train
Sample_004,-0.17276849,0.14064582,1.0830433,train
Sample_005,-0.011860859,0.030885767,0.049156047,train
Sample_006,-0.04909941,0.056287333,0.28842664,train
Sample_007,-0.099213615,0.090471774,0.6104278,train
Sample_008,1.1982634,-1.3943871,-1.5727338,train
Sample_009,-0.102024466,0.09238914,0.6284885,train
Sample_010,0.13025066,-0.13399929,-0.16853882,train
Sample_012,0.8277515,-0.95676696,-1.084269,train
Sample_013,0.3069869,-0.34448892,-0.3781083,train
Sample_014,-0.09156483,0.0852543,0.5612816,train
Sample_016,-0.19049467,0.15326886,1.1936601,train
Sample_017,-0.006005462,0.02689162,0.011533092,train
Sample_019,-0.18820485,0.15117542,1.1822273,train
Sample_024,-0.099598415,0.09073425,0.61290026,train
Sample_025,1.4767731,-1.7224766,-1.9372745,train
Sample_026,-0.006688192,0.02760561,0.011504764,train
Sample_027,0.36096776,-0.40605992,-0.4707778,train
Sample_028,-0.029843537,0.043152306,0.16470098,train
Sample_030,-0.006688192,0.02760561,0.011504764,train
Sample_002,-0.27043316,0.20813605,1.7035555,valid
Sample_023,-0.09529774,0.0884059,0.57715786,valid
Sample_029,0.06924554,-0.07890144,0.08339802,valid
