,Gene3,Gene1,Gene2,split
Sample_001,0.17473711,-0.2013076,-0.3307992,train
Sample_003,-0.06835672,0.09305396,-0.001461068,train
Sample_004,0.91946584,-1.1032605,-1.3404756,train
Sample_005,0.16534951,-0.18994018,-0.31808108,train
Sample_006,-0.12675782,0.13200699,0.48025596,train
Sample_007,-0.14040545,0.14128238,0.59109765,train
Sample_008,-0.11833538,0.1263893,0.41078416,train
Sample_009,0.56294334,-0.6713853,-0.8567323,train
Sample_010,0.32593104,-0.38438785,-0.5356334,train
Sample_012,-0.068682544,0.09341231,-0.0015495266,train
Sample_013,-0.32423437,0.26372212,2.1091263,train
Sample_014,0.040120177,-0.05176785,0.022268137,train
Sample_016,0.3829363,-0.45341536,-0.6128628,train
Sample_017,0.046890453,-0.046498485,-0.15759538,train
Sample_019,-0.06835672,0.09305396,-0.001461068,train
Sample_024,0.133826,-0.15176848,-0.27537373,train
Sample_025,-0.08739813,0.10575441,0.15560053,train
Sample_026,-0.06835672,0.09305396,-0.001461068,train
Sample_027,-0.07184835,0.095525265,0.024609534,train
Sample_028,-0.14640412,0.14528607,0.6406647,train
Sample_030,-0.07631013,0.09835882,0.064142026,train
Sample_002,0.53391296,-0.63653845,-0.81870645,valid
Sample_023,0.23811719,-0.278248,-0.41781417,valid
Sample_029,-0.097926386,0.11308004,0.23825227,valid
