,LatDim_0,LatDim_1,split
Sample_001,-0.77900946,-1.1624036,train
Sample_003,-0.37761047,0.64381164,train
Sample_004,-0.33136377,0.14635147,train
Sample_005,0.17302454,0.64608663,train
Sample_006,0.13348332,0.08020629,train
Sample_007,-1.6570908,1.2272983,train
Sample_008,0.44318062,0.44386882,train
Sample_009,-0.48421508,0.37499604,train
Sample_010,-0.19120152,-1.6496668,train
Sample_012,0.14829549,-2.0112514,train
Sample_013,-0.48460585,2.0138326,train
Sample_014,-0.40150583,0.2789105,train
Sample_016,1.9333695,-0.07019818,train
Sample_017,-0.7856371,-0.8796516,train
Sample_019,-1.1198275,-0.1378085,train
Sample_024,1.012688,0.27099258,train
Sample_025,-0.060924266,-0.13872662,train
Sample_026,-0.22629558,1.2374713,train
Sample_027,0.5269746,1.0070479,train
Sample_028,0.6625675,1.2125608,train
Sample_030,1.5264763,0.37543777,train
Sample_002,0.21676132,-0.8251003,valid
Sample_023,1.1583695,-0.33533916,valid
Sample_029,1.3239706,0.3490855,valid
