,Gene3,Gene1,Gene2,split
Sample_001,-0.19399005,0.1502828,1.2452089,train
Sample_003,0.3078893,-0.3421602,-0.3916711,train
Sample_004,0.120124586,-0.1419315,0.061463296,train
Sample_005,0.00023327925,0.020197352,0.011633754,train
Sample_006,-0.24239771,0.18190263,1.5572299,train
Sample_007,0.00023327925,0.020197352,0.011633754,train
Sample_008,0.33389932,-0.3727948,-0.4257675,train
Sample_009,-0.2502509,0.18713652,1.6072559,train
Sample_010,0.6680128,-0.7664744,-0.8646699,train
Sample_012,0.00023327925,0.020197352,0.011633754,train
Sample_013,-0.075796336,0.0708685,0.4959539,train
Sample_014,0.42308277,-0.47793633,-0.54351485,train
Sample_016,0.35577235,-0.39855686,-0.4544407,train
Sample_017,0.059007194,-0.049026623,-0.0654127,train
Sample_019,1.3629003,-1.584753,-1.77468,train
Sample_024,0.5939639,-0.67924166,-0.76757616,train
Sample_025,0.4979936,-0.5660652,-0.6408779,train
Sample_026,-0.14127488,0.11450772,0.91306216,train
Sample_027,0.6498942,-0.74497384,-0.84000367,train
Sample_028,0.0787911,-0.07232812,-0.09134733,train
Sample_030,-0.15672076,0.12537989,1.0077811,train
Sample_002,0.003838465,-0.005636975,0.21942256,valid
Sample_023,-0.13028578,0.108126424,0.8356447,valid
Sample_029,-0.05835085,0.059969045,0.37728998,valid
