,LatDim_0,LatDim_1,split
Sample_001,1.8884883,-0.07807866,train
Sample_003,-0.39119324,0.14138466,train
Sample_004,1.5211062,-0.3545124,train
Sample_005,0.2534051,-0.29294088,train
Sample_006,-1.5927926,-1.8796422,train
Sample_007,0.86698234,-0.27558115,train
Sample_008,2.396971,-0.34550866,train
Sample_009,-0.13753296,0.09801462,train
Sample_010,-0.6648539,1.6198499,train
Sample_012,-0.76815605,-0.20060468,train
Sample_013,0.551862,0.6031808,train
Sample_014,0.8023958,0.26937136,train
Sample_016,0.5731438,-0.10177663,train
Sample_017,-0.683007,0.89746404,train
Sample_019,-1.041226,1.5581667,train
Sample_024,-0.98344165,-1.3299464,train
Sample_025,0.006623037,0.8981224,train
Sample_026,0.33842188,1.0835674,train
Sample_027,-0.04914385,0.22442067,train
Sample_028,1.3894494,-1.5196872,train
Sample_030,-0.030174995,-3.0324368,train
Sample_002,-0.19932263,0.67336583,valid
Sample_023,1.1888305,-0.13599679,valid
Sample_029,0.6218782,0.2194331,valid
