,LatDim_0,LatDim_1,split
Sample_001,-0.014904931,-0.12284741,train
Sample_003,0.0032718629,1.8488021,train
Sample_004,-0.813485,1.1741616,train
Sample_005,0.59473586,-0.09427107,train
Sample_006,0.47900736,-0.09238887,train
Sample_007,-0.23410445,1.4674302,train
Sample_008,0.8068811,-0.29172987,train
Sample_009,-0.9492727,-0.15031788,train
Sample_010,1.2358705,0.48378673,train
Sample_012,-1.0123678,0.35746863,train
Sample_013,-0.17762361,-0.3160134,train
Sample_014,3.649175,1.5786111,train
Sample_016,0.74877685,-0.10451366,train
Sample_017,-1.0649434,-1.4706599,train
Sample_019,-0.0900628,-0.67246634,train
Sample_024,-0.06928948,1.2332381,train
Sample_025,-1.7989657,-0.59216833,train
Sample_026,-0.29273918,0.9050889,train
Sample_027,0.29958928,-0.8219089,train
Sample_028,0.5684885,-1.0498415,train
Sample_030,0.47213122,0.94137937,train
Sample_002,1.5534153,-0.9631434,valid
Sample_023,0.6660071,-0.5766794,valid
Sample_029,0.07777085,-0.786096,valid
