,LatDim_0,LatDim_1,split
Sample_001,-0.11114954,0.28460798,train
Sample_003,0.7917401,-1.68912,train
Sample_004,-0.32367435,0.81090856,train
Sample_005,-1.8517058,-0.8342945,train
Sample_006,1.495607,0.25535786,train
Sample_007,0.07477012,-0.2647737,train
Sample_008,-0.20142025,-0.65819544,train
Sample_009,-2.8154778,0.29442632,train
Sample_010,0.4177493,2.4116158,train
Sample_012,1.0127023,0.21244586,train
Sample_013,-1.7177774,-1.7256546,train
Sample_014,1.4183336,0.1807903,train
Sample_016,0.94266367,0.12035571,train
Sample_017,-1.5116744,0.45692328,train
Sample_019,1.4175498,2.1577868,train
Sample_024,-0.16703299,0.6384893,train
Sample_025,-1.5567385,-0.38040578,train
Sample_026,0.40792027,-0.016375927,train
Sample_027,0.27951467,-1.3556087,train
Sample_028,1.0723579,-0.33739996,train
Sample_030,-1.1719744,-0.2813116,train
Sample_002,-0.6079241,1.3696368,valid
Sample_023,1.3537625,0.111058146,valid
Sample_029,-0.74081486,0.7255592,valid
