,LatDim_0,LatDim_1,split
Sample_001,0.6047558,2.5535989,train
Sample_003,0.14290872,0.50545704,train
Sample_004,-0.034872696,0.66596717,train
Sample_005,0.27243227,1.3528447,train
Sample_006,1.2107174,-0.26894534,train
Sample_007,-0.05286367,-0.3557154,train
Sample_008,-0.5749634,2.587511,train
Sample_009,0.4095751,1.3632276,train
Sample_010,-0.47242692,-0.0424181,train
Sample_012,0.7500153,-1.7015713,train
Sample_013,2.1418676,0.49805287,train
Sample_014,-0.33225697,0.15605082,train
Sample_016,1.9913331,-0.019106727,train
Sample_017,-0.005477462,0.34293264,train
Sample_019,-0.66838914,0.45679894,train
Sample_024,-0.14871137,-0.83098865,train
Sample_025,-1.4594328,-1.2159781,train
Sample_026,1.4510199,-1.2237765,train
Sample_027,-0.35543564,-1.4234412,train
Sample_028,-0.18463272,2.3251739,train
Sample_030,2.071799,0.72111785,train
Sample_002,-0.9069912,-1.0074811,valid
Sample_023,-0.6900555,0.5889906,valid
Sample_029,-1.1180608,-0.17709738,valid
