,Gene3,Gene1,Gene2,split
Sample_001,0.18311368,-0.20654997,-0.31081957,train
Sample_003,-0.11323524,0.11098856,0.45997748,train
Sample_004,0.13167526,-0.1448537,-0.24176857,train
Sample_005,0.39271992,-0.45809957,-0.59292305,train
Sample_006,0.010053117,0.0009316504,-0.07920242,train
Sample_007,-0.048843756,0.07166439,0.00056045543,train
Sample_008,0.6989636,-0.82527053,-1.0032973,train
Sample_009,0.3709482,-0.4318424,-0.5629689,train
Sample_010,-0.07308268,0.08672938,0.17043394,train
Sample_012,1.0494539,-1.2456555,-1.473796,train
Sample_013,-0.048843756,0.07166439,0.00056045543,train
Sample_014,0.010090858,0.0009770468,-0.07855347,train
Sample_016,0.19192192,-0.21711475,-0.3226438,train
Sample_017,-0.18018256,0.15187357,0.93762964,train
Sample_019,-0.0646467,0.027337737,0.6443935,train
Sample_024,-0.15991667,0.1394971,0.7930377,train
Sample_025,-0.120448075,0.11539347,0.51143926,train
Sample_026,0.48749152,-0.57178366,-0.72015154,train
Sample_027,0.23133563,-0.26438832,-0.3755528,train
Sample_028,-0.20086965,0.16450727,1.0852268,train
Sample_030,-0.23405448,0.18538101,1.3224485,train
Sample_002,0.28429827,-0.328075,-0.44794026,valid
Sample_023,-0.11061729,0.11015117,0.43757632,valid
Sample_029,-0.037598737,0.05110281,0.05388962,valid
