,LatDim_0,LatDim_1,split
Sample_001,-1.0462251,1.3587248,train
Sample_003,0.91258085,-0.50626326,train
Sample_004,-0.32330215,0.30809715,train
Sample_005,-0.5567459,1.6841161,train
Sample_006,-0.23206234,-0.16882518,train
Sample_007,0.016449155,-0.3378621,train
Sample_008,2.2963648,-0.7365435,train
Sample_009,-0.9635407,-0.34719118,train
Sample_010,0.91224325,-0.75359446,train
Sample_012,-1.5311728,-0.2928946,train
Sample_013,0.86536735,-0.88777965,train
Sample_014,1.703826,0.3373352,train
Sample_016,0.8981069,0.36671105,train
Sample_017,2.6569445,0.20409758,train
Sample_019,-0.5610988,-1.7322973,train
Sample_024,1.0364382,-1.2503248,train
Sample_025,-2.1285615,0.24487805,train
Sample_026,-0.21066475,0.036738805,train
Sample_027,0.078200586,-1.5994451,train
Sample_028,1.1001247,-2.147879,train
Sample_030,0.9088428,-0.056751035,train
Sample_002,-0.6068977,2.433291,valid
Sample_023,-0.53415257,1.1968509,valid
Sample_029,0.91474235,0.5206488,valid
