,LatDim_0,LatDim_1,split
Sample_001,-0.24811198,0.17266062,train
Sample_003,0.29579258,0.23894416,train
Sample_004,1.6241674,1.2918429,train
Sample_005,-0.38500157,0.18356779,train
Sample_006,0.25395218,0.5181906,train
Sample_007,-1.0930926,0.5847312,train
Sample_008,0.62434655,-1.1508242,train
Sample_009,-1.0217043,0.01906475,train
Sample_010,0.4511891,1.0121194,train
Sample_012,1.6323723,1.203724,train
Sample_013,-0.16773623,-0.18101063,train
Sample_014,-2.1174862,0.4979075,train
Sample_016,0.76904553,-1.3264023,train
Sample_017,-0.32022902,1.3787845,train
Sample_019,-1.4890006,-0.799132,train
Sample_024,1.8759047,1.3516843,train
Sample_025,-2.1598957,1.1649742,train
Sample_026,0.70544153,1.423499,train
Sample_027,-0.10022462,-0.75017905,train
Sample_028,0.2091191,-0.7255672,train
Sample_030,0.27072725,-1.7375499,train
Sample_002,-0.5546765,0.86227745,valid
Sample_023,-1.2034755,-0.54082805,valid
Sample_029,1.1896393,-0.04279849,valid
