,Gene3,Gene1,Gene2,split
Sample_001,-0.07467106,0.09999898,-0.0027440097,train
Sample_003,0.22606966,-0.26633307,-0.41273403,train
Sample_004,0.48861703,-0.5860653,-0.771317,train
Sample_005,0.35209963,-0.41979215,-0.5850472,train
Sample_006,-0.20667988,0.19791043,1.1854436,train
Sample_007,0.031024486,-0.028727502,-0.14656292,train
Sample_008,-0.09387933,0.11414725,0.17253001,train
Sample_009,0.6650468,-0.80109847,-1.0117903,train
Sample_010,0.5194253,-0.62370116,-0.8130659,train
Sample_012,-0.074359864,0.09965253,-0.0027487185,train
Sample_013,-0.14151835,0.14952293,0.6003135,train
Sample_014,-0.16217878,0.1648649,0.78583765,train
Sample_016,-0.10828976,0.12484811,0.30193117,train
Sample_017,-0.13615607,0.14558727,0.54979235,train
Sample_019,-0.074359864,0.09965253,-0.0027487185,train
Sample_024,-0.1873618,0.18355396,1.009954,train
Sample_025,0.15009223,-0.17377678,-0.30905038,train
Sample_026,0.24720588,-0.2920814,-0.4415779,train
Sample_027,-0.15980408,0.1631015,0.76451355,train
Sample_028,-0.14242452,0.15019582,0.6084506,train
Sample_030,0.74562097,-0.8992545,-1.1217469,train
Sample_002,0.12654942,-0.14509326,-0.27769706,valid
Sample_023,0.21985182,-0.2587163,-0.40498668,valid
Sample_029,-0.08156191,0.10520801,0.05653097,valid
