,LatDim_0,LatDim_1,split
Sample_001,0.33413714,0.57769054,train
Sample_003,0.3800103,-1.6133126,train
Sample_004,-0.23546158,0.3727102,train
Sample_005,0.33430484,1.3737448,train
Sample_006,-0.23879533,-0.6406047,train
Sample_007,0.5375846,-0.3986324,train
Sample_008,0.9575414,-0.77846074,train
Sample_009,-0.7930448,-1.1914127,train
Sample_010,-0.14854068,1.090062,train
Sample_012,-0.09308209,-0.61167926,train
Sample_013,-1.3314215,-0.64858353,train
Sample_014,-0.16677752,-0.3787872,train
Sample_016,0.14307964,1.580426,train
Sample_017,-1.4959257,-0.5300947,train
Sample_019,-0.8152904,0.54690635,train
Sample_024,0.30979207,-1.0514499,train
Sample_025,0.21240354,-1.3761941,train
Sample_026,1.8459892,-1.2603868,train
Sample_027,1.7868032,-0.15107782,train
Sample_028,-0.33315614,-0.78803414,train
Sample_030,-0.58005834,-0.09280017,train
Sample_002,-0.0651886,-0.077622466,valid
Sample_023,-1.1522993,0.17192781,valid
Sample_029,1.2214639,0.55558205,valid
