,Gene3,Gene1,Gene2,split
Sample_001,0.20119132,-0.23031552,-0.35044125,train
Sample_003,0.38842347,-0.45558137,-0.6022612,train
Sample_004,-0.08479028,0.09950449,0.18833914,train
Sample_005,-0.10697947,0.11333062,0.35735917,train
Sample_006,-0.13849474,0.13296786,0.5974181,train
Sample_007,-0.2580715,0.20747638,1.5082611,train
Sample_008,0.5689493,-0.67277855,-0.8450613,train
Sample_009,-0.079659544,0.096358314,0.14645196,train
Sample_010,-0.06021442,0.08419122,0.0011392721,train
Sample_012,-0.060627464,0.08450873,0.0011228119,train
Sample_013,0.924577,-1.1009704,-1.324072,train
Sample_014,-0.06021442,0.08419122,0.0011392721,train
Sample_016,1.1934472,-1.4241347,-1.6849867,train
Sample_017,0.18921013,-0.21590053,-0.334327,train
Sample_019,-0.21208528,0.178808,1.1576563,train
Sample_024,0.2583314,-0.29906285,-0.4272924,train
Sample_025,0.22143193,-0.2578609,-0.3431346,train
Sample_026,-0.08599252,0.100301296,0.19481066,train
Sample_027,-0.12289038,0.12324474,0.47855616,train
Sample_028,-0.03707104,0.05634658,-0.029987667,train
Sample_030,-0.17499213,0.15570945,0.8754268,train
Sample_002,-0.16728026,0.15109971,0.81398475,valid
Sample_023,-0.105596006,0.112692565,0.34203768,valid
Sample_029,0.071994916,-0.07514575,-0.17781089,valid
