,LatDim_0,LatDim_1,split
Sample_001,0.72705567,3.2636013,train
Sample_003,0.73719174,0.17754427,train
Sample_004,1.2004836,0.49904144,train
Sample_005,-0.2917155,-1.8544762,train
Sample_006,0.38199812,-0.68996394,train
Sample_007,-0.083129995,-0.33028737,train
Sample_008,1.0106707,2.2812767,train
Sample_009,0.07800237,1.4358808,train
Sample_010,-0.4314785,-2.1061532,train
Sample_012,-0.0768532,-0.6889026,train
Sample_013,0.7548915,2.0863595,train
Sample_014,-1.6328883,0.14837568,train
Sample_016,0.58287805,-0.53366923,train
Sample_017,0.17440772,-0.44944602,train
Sample_019,-1.9614798,1.0264679,train
Sample_024,0.22076076,-0.61728543,train
Sample_025,-0.9578251,0.57210016,train
Sample_026,-0.033945832,0.38948035,train
Sample_027,1.0587142,0.6991974,train
Sample_028,0.06966958,0.11586759,train
Sample_030,-0.038281612,0.79249233,train
Sample_002,-0.05387628,0.31063336,valid
Sample_023,-1.0909699,0.6136515,valid
Sample_029,0.18489599,0.9153165,valid
