,Gene3,Gene1,Gene2,split
Sample_001,-0.18153256,0.14929071,1.0079416,train
Sample_003,-0.1037433,0.09939444,0.49305868,train
Sample_004,1.0905818,-1.2769482,-1.4820527,train
Sample_005,-0.27556974,0.20961723,1.6388484,train
Sample_006,0.7243197,-0.84263766,-0.99637556,train
Sample_007,0.047273945,-0.060026646,0.09990749,train
Sample_008,0.4677761,-0.5387291,-0.65741867,train
Sample_009,-0.06439674,0.07415452,0.23068419,train
Sample_010,-0.030479912,0.05239764,0.004516718,train
Sample_012,-0.030479912,0.05239764,0.004516718,train
Sample_013,0.35399532,-0.40351,-0.5053117,train
Sample_014,-0.09147526,0.09152478,0.41125178,train
Sample_016,0.8890353,-1.0385259,-1.2163829,train
Sample_017,-0.18913543,0.15417157,1.0624788,train
Sample_019,0.14197047,-0.15209264,-0.22415888,train
Sample_024,-0.030479912,0.05239764,0.004516718,train
Sample_025,-0.08218168,0.08556315,0.34927937,train
Sample_026,-0.030990124,0.05302487,0.004388739,train
Sample_027,-0.16351253,0.13776763,0.8878157,train
Sample_028,-0.030479912,0.05239764,0.004516718,train
Sample_030,-0.030479912,0.05239764,0.004516718,train
Sample_002,-0.0081819035,0.025835438,-0.02678889,valid
Sample_023,-0.08094498,0.08499558,0.33360925,valid
Sample_029,0.52091146,-0.6023177,-0.72936314,valid
