,Gene3,Gene1,Gene2,split
Sample_001,-0.06104322,0.084952176,0.0011637172,train
Sample_003,-0.17882243,0.15828633,0.902294,train
Sample_004,-0.04522319,0.06591437,-0.02011878,train
Sample_005,-0.19038898,0.1657018,0.9896031,train
Sample_006,-0.06104322,0.084952176,0.0011637172,train
Sample_007,0.26203805,-0.30413538,-0.4343572,train
Sample_008,-0.12229799,0.1230919,0.46982476,train
Sample_009,-0.07120676,0.09137336,0.07548529,train
Sample_010,0.7448403,-0.88484704,-1.0829817,train
Sample_012,0.7942432,-0.94477165,-1.150551,train
Sample_013,-0.25470752,0.20553549,1.4828918,train
Sample_014,0.32169375,-0.375633,-0.5137277,train
Sample_016,0.14264597,-0.16016714,-0.2728569,train
Sample_017,-0.06800873,0.08928918,0.054456886,train
Sample_019,-0.06104322,0.084952176,0.0011637172,train
Sample_024,-0.051493578,0.07346015,-0.011683302,train
Sample_025,-0.10638162,0.11331029,0.34527358,train
Sample_026,-0.06104322,0.084952176,0.0011637172,train
Sample_027,-0.16607976,0.15035222,0.8047997,train
Sample_028,0.030612182,-0.025345817,-0.1221392,train
Sample_030,-0.06104322,0.084952176,0.0011637172,train
Sample_002,0.10547353,-0.11577385,-0.224259,valid
Sample_023,0.35104892,-0.4114819,-0.5548643,valid
Sample_029,-0.06185731,0.08571652,0.001009752,valid
