,LatDim_0,LatDim_1,split
Sample_001,-0.73507136,-1.5592694,train
Sample_003,0.5100731,-1.0692168,train
Sample_004,-0.08866057,-1.5458789,train
Sample_005,-1.1015619,-0.76157135,train
Sample_006,-1.7329819,-1.225425,train
Sample_007,-1.5789126,-0.7435919,train
Sample_008,0.12431152,-0.5321358,train
Sample_009,-2.3607998,-0.6153418,train
Sample_010,0.017984312,-0.1926803,train
Sample_012,1.5430661,-0.40176192,train
Sample_013,0.13824315,1.222597,train
Sample_014,0.45787656,-1.290731,train
Sample_016,-1.1302328,0.32895038,train
Sample_017,0.06730069,1.5319334,train
Sample_019,2.1781893,-0.14821078,train
Sample_024,0.026192471,0.06732398,train
Sample_025,-1.1207534,0.28769368,train
Sample_026,0.38503146,1.1998038,train
Sample_027,1.284476,0.16145715,train
Sample_028,-1.8929136,-0.1094031,train
Sample_030,0.5875646,-1.2050314,train
Sample_002,-0.057545833,-0.2871957,valid
Sample_023,0.98100656,-2.0563312,valid
Sample_029,-0.07800814,1.1369159,valid
