,Gene3,Gene1,Gene2,split
Sample_001,-0.046896067,0.06517707,0.070533626,train
Sample_003,-0.09389176,0.09477553,0.38658082,train
Sample_004,-0.24021016,0.18561544,1.3811556,train
Sample_005,-0.12242423,0.11223256,0.582596,train
Sample_006,0.08925104,-0.09153204,-0.16586243,train
Sample_007,-0.07007262,0.079926014,0.22470216,train
Sample_008,-0.21054868,0.1675027,1.1793998,train
Sample_009,0.88119316,-1.0363212,-1.2234162,train
Sample_010,-0.03686988,0.058930565,0.0025585264,train
Sample_012,0.6278395,-0.7341616,-0.88596547,train
Sample_013,-0.13574076,0.12052901,0.6728788,train
Sample_014,0.41840902,-0.48421836,-0.6054176,train
Sample_016,0.5788687,-0.67573214,-0.82055914,train
Sample_017,0.20932071,-0.23477547,-0.3262026,train
Sample_019,-0.10160163,0.09925969,0.44142392,train
Sample_024,-0.23692918,0.18357134,1.3589114,train
Sample_025,0.07795197,-0.07805221,-0.15077372,train
Sample_026,-0.124765396,0.11369115,0.59846854,train
Sample_027,0.038272526,-0.03071453,-0.09778609,train
Sample_028,1.1391284,-1.3440386,-1.5678611,train
Sample_030,0.68028903,-0.79664195,-0.9551303,train
Sample_002,1.0526497,-1.2414747,-1.4546831,valid
Sample_023,-0.11093786,0.10566002,0.5000071,valid
Sample_029,-0.18668126,0.15291074,1.0161132,valid
